Time,LED_2W,LED_4W,Halogen,CFL,Toaster,Fan,Total
18:30:07,2,4,70,0,0,0,76
18:30:08,2,4,140,20,0,15,181
18:30:09,0,0,0,0,750,17,767
18:30:10,0,0,70,20,750,0,840
18:30:11,2,0,70,20,0,0,92
18:30:12,0,0,140,20,750,17,927
18:30:13,0,0,0,0,750,15,765
18:30:14,0,0,0,0,750,0,750
18:30:15,0,4,140,0,0,15,159
18:30:16,2,0,0,20,0,17,39
18:30:17,2,0,70,20,750,2,844
18:30:18,0,4,0,20,0,2,26
18:30:19,0,4,70,0,750,2,826
18:30:22,0,0,140,0,0,0,140
18:30:24,0,4,70,0,750,17,841
18:30:26,0,4,70,20,0,0,94
18:30:28,0,4,140,0,750,17,911
18:30:30,2,4,70,20,0,15,111
18:30:32,0,0,70,20,750,2,842
18:30:34,2,4,70,0,0,15,91
18:30:36,2,0,70,0,750,2,824
18:30:38,2,4,70,0,0,15,91
18:30:40,0,0,70,20,0,2,92
18:30:42,2,4,70,20,0,17,113
18:30:44,2,4,70,20,0,15,111
18:30:46,2,0,70,20,0,0,92
18:30:48,0,0,70,0,750,15,835
18:30:50,0,0,70,0,0,2,72
18:30:52,2,0,140,0,0,0,142
18:30:54,0,0,70,0,750,2,822
18:30:56,2,4,140,20,0,0,166
18:30:58,0,4,140,0,750,15,909
18:31:00,0,4,70,20,0,0,94
18:31:02,2,4,140,20,750,15,931
18:31:04,2,0,0,0,750,17,769
18:31:06,0,4,0,0,750,15,769
18:31:08,0,4,140,0,0,2,146
18:31:10,2,0,140,0,0,15,157
18:31:12,2,4,0,0,750,17,773
18:31:14,0,0,0,20,750,15,785
18:31:16,0,4,0,20,0,0,24
18:31:18,2,0,70,0,0,2,74
18:31:20,2,0,70,20,750,17,859
18:31:21,0,4,140,20,0,17,181
18:31:23,0,4,70,0,750,15,839
18:31:25,0,4,70,0,0,0,74
18:31:27,0,4,70,0,0,17,91
18:31:30,0,4,0,0,0,0,4
18:31:32,0,0,140,0,0,17,157
18:31:34,0,4,0,20,750,2,776
18:31:36,0,0,70,20,750,17,857
18:31:38,2,0,140,0,0,0,142
18:31:40,0,0,0,20,0,17,37
18:31:42,2,0,70,20,750,2,844
18:31:44,2,4,70,0,0,17,93
18:31:46,2,4,0,0,750,15,771
18:31:48,2,4,140,0,0,15,161
18:31:50,0,4,0,0,750,0,754
18:31:52,2,4,0,0,750,17,773
18:31:54,2,4,140,0,750,2,898
18:31:56,0,4,140,20,750,17,931
18:31:58,2,0,70,20,750,17,859
18:32:00,0,0,70,20,0,2,92
18:32:02,0,0,70,20,0,2,92
18:32:04,0,4,0,0,750,17,771
18:32:06,2,0,0,20,0,17,39
18:32:23,2,0,140,0,0,0,142
18:32:23,0,4,140,20,0,0,164
18:32:24,2,0,140,20,750,17,929
18:32:25,2,0,0,0,0,2,4
18:32:26,0,4,70,0,0,17,91
18:32:27,0,0,70,0,750,2,822
18:32:28,2,4,70,0,0,15,91
18:32:29,2,4,0,20,750,2,778
18:32:30,2,0,0,20,0,15,37
18:32:31,0,0,70,0,0,15,85
18:32:32,0,4,0,20,0,2,26
18:32:33,2,4,70,20,750,15,861
18:32:34,0,4,70,20,0,17,111
18:32:35,0,4,70,0,750,17,841
18:32:36,2,4,0,20,0,15,41
18:32:37,2,4,70,20,750,0,846
18:32:38,2,4,0,0,0,0,6
18:32:39,2,0,70,20,0,17,109
18:32:40,0,4,70,0,750,15,839
18:32:41,0,0,70,0,0,15,85
18:32:42,2,0,0,0,0,2,4
18:32:43,0,4,70,20,750,15,859
18:32:44,2,0,70,20,750,15,857
18:32:45,0,4,140,20,750,17,931
18:32:46,2,4,140,0,750,15,911
18:32:47,0,0,140,0,750,0,890
18:32:48,2,0,0,20,0,17,39
18:32:49,2,4,70,20,0,15,111
18:32:50,0,4,70,20,0,15,109
18:32:51,0,4,140,20,0,15,179
18:32:52,0,0,70,20,0,2,92
18:32:53,0,4,70,0,750,17,841
18:32:54,0,0,70,20,0,17,107
18:32:55,0,0,140,0,0,2,142
18:32:56,2,0,70,20,0,17,109
18:32:57,0,4,140,0,0,17,161
18:32:58,2,0,0,20,0,2,24
18:32:59,2,4,70,20,750,17,863
18:33:00,2,4,140,0,0,2,148
18:33:01,2,4,0,0,0,17,23
18:33:02,2,4,70,0,0,17,93
18:33:03,2,0,70,0,750,17,839
18:33:04,0,4,140,20,750,17,931
18:33:05,0,4,140,0,750,15,909
18:33:06,2,0,70,0,750,15,837
18:33:07,2,0,70,20,750,0,842
18:33:08,2,4,70,0,0,17,93
18:33:09,0,0,140,20,0,17,177
18:33:10,2,4,70,20,0,0,96
18:33:11,2,0,70,20,750,2,844
18:33:12,0,0,70,20,750,0,840
18:33:13,0,4,70,20,0,17,111
18:33:14,0,4,70,0,750,17,841
18:33:15,2,4,140,20,0,15,181
18:33:16,2,0,70,0,0,2,74
18:33:17,0,4,140,0,0,2,146
18:33:18,2,0,0,20,750,0,772
18:33:19,0,4,70,0,750,17,841
18:33:20,2,4,140,20,750,15,931
18:33:21,2,4,140,0,0,17,163
18:33:22,0,4,0,20,750,15,789
18:33:23,0,4,140,0,0,17,161
18:33:24,2,4,70,20,0,15,111
18:33:25,0,4,70,0,0,17,91
18:33:26,0,0,70,20,750,15,855
18:33:27,0,0,70,20,0,2,92
18:33:28,2,0,70,20,0,0,92
18:33:29,0,0,70,20,0,0,90
18:33:30,0,0,140,20,0,15,175
18:33:31,0,0,140,20,750,15,925
18:33:32,2,0,70,20,0,15,107
18:33:33,2,4,140,0,750,0,896
18:33:34,0,0,70,20,0,17,107
18:33:35,0,4,70,20,750,2,846
18:33:36,2,4,70,20,750,15,861
18:33:37,0,4,140,0,0,17,161
18:33:38,2,0,0,0,750,2,754
18:33:39,0,4,140,20,0,17,181
18:33:40,0,4,0,20,0,2,26
18:33:41,2,4,0,20,750,15,791
18:33:42,0,0,70,20,750,15,855
18:33:43,0,4,0,20,0,15,39
18:33:44,0,4,140,20,0,2,166
18:33:45,0,4,0,0,0,2,6
18:33:46,2,0,70,0,0,2,74
18:33:47,0,4,70,20,0,15,109
18:33:48,0,4,70,0,0,2,76
18:33:49,0,4,70,0,750,17,841
18:33:50,2,4,70,0,750,0,826
18:33:51,2,4,70,20,750,17,863
18:33:52,0,0,70,20,0,0,90
18:33:53,0,4,70,20,750,17,861
18:33:54,2,0,140,20,750,2,914
18:33:55,0,4,140,20,750,15,929
18:33:56,0,0,0,20,750,2,772
18:33:57,2,0,70,20,750,15,857
18:33:58,2,4,70,0,750,2,828
18:33:59,2,0,140,0,750,15,907
18:34:00,2,4,70,0,750,0,826
18:34:01,2,0,0,0,750,2,754
18:34:02,0,4,140,20,750,0,914
18:34:03,0,0,70,20,0,2,92
18:34:04,2,4,70,20,750,2,848
18:34:05,0,4,0,20,750,17,791
18:34:06,2,4,0,20,0,17,43
18:34:07,0,0,70,20,750,0,840
18:34:08,2,4,70,0,0,0,76
18:34:09,2,0,70,20,750,15,857
18:34:10,2,0,70,20,0,0,92
18:34:11,0,4,70,0,0,0,74
18:34:12,0,4,70,0,750,15,839
18:34:13,0,0,70,20,0,2,92
18:34:14,2,4,70,20,0,17,113
18:34:15,0,4,0,0,750,0,754
18:34:16,0,4,70,0,0,0,74
18:34:17,0,4,140,0,750,15,909
18:34:18,2,0,70,0,0,17,89
18:34:19,2,0,70,0,0,17,89
18:34:20,2,0,0,0,0,17,19
18:34:21,0,4,0,20,750,0,774
18:34:22,2,0,0,20,0,0,22
18:34:23,2,4,70,20,0,2,98
18:34:24,2,0,70,20,0,2,94
18:34:25,2,4,70,20,750,17,863
18:34:26,2,0,0,20,750,15,787
18:34:27,2,0,0,0,0,2,4
18:34:28,0,0,70,20,0,15,105
18:34:29,0,0,140,0,750,0,890
18:34:30,2,4,140,20,750,0,916
18:34:31,2,4,70,20,0,0,96
18:34:32,0,4,0,20,750,17,791
18:34:33,0,0,70,0,0,17,87
18:34:34,2,0,70,20,750,2,844
18:34:35,0,4,0,0,750,2,756
18:34:36,0,0,70,0,0,17,87
18:34:37,0,4,140,0,0,17,161
18:34:38,0,4,140,0,750,2,896
18:34:39,0,0,140,20,750,2,912
18:34:40,0,0,140,20,750,15,925
18:34:41,2,0,70,0,0,17,89
18:34:42,2,4,140,20,750,17,933
18:34:43,2,0,70,20,750,2,844
18:34:44,2,0,70,0,0,2,74
18:34:45,0,4,0,0,0,0,4
18:34:46,2,4,140,0,0,15,161
18:34:47,0,0,70,20,0,0,90
18:34:48,2,4,0,0,0,17,23
18:34:49,2,0,140,0,0,17,159
18:34:50,0,4,0,0,750,0,754
18:34:51,2,0,70,20,750,2,844
18:34:52,2,0,70,0,750,2,824
18:34:53,2,0,0,20,0,2,24
18:34:54,2,0,0,20,0,15,37
18:34:55,2,4,70,0,0,2,78
18:34:56,2,0,140,0,0,0,142
18:34:57,0,4,70,20,750,2,846
18:34:58,0,0,0,20,750,17,787
18:34:59,2,4,70,0,0,0,76
18:35:00,0,4,140,0,750,17,911
18:35:01,2,0,70,0,0,15,87
18:35:02,2,4,0,0,750,17,773
18:35:03,2,0,70,0,0,17,89
18:35:04,2,0,140,20,0,0,162
18:35:05,0,0,140,0,0,0,140
18:35:06,2,0,70,20,750,2,844
18:35:07,2,4,70,20,750,17,863
18:35:08,2,4,70,20,0,17,113
18:35:09,2,4,0,20,0,17,43
18:35:10,2,0,70,20,750,17,859
18:35:11,2,4,0,0,750,15,771
18:35:12,0,4,70,20,750,17,861
18:35:13,0,4,70,20,0,2,96
18:35:14,0,4,70,0,0,17,91
18:35:15,0,0,140,0,0,15,155
18:35:16,2,0,70,20,750,17,859
18:35:17,0,0,0,20,750,0,770
18:35:18,0,4,0,20,750,15,789
18:35:19,2,4,70,20,0,15,111
18:35:20,0,4,140,0,0,2,146
18:35:21,0,4,0,20,750,17,791
18:35:22,2,0,140,20,0,2,164
18:35:23,0,0,0,0,0,2,2
18:35:24,2,0,70,20,750,0,842
18:35:25,0,0,140,0,750,17,907
18:35:26,2,4,70,0,0,15,91
18:35:27,0,0,70,20,0,0,90
18:35:28,0,4,0,20,0,17,41
18:35:29,0,0,0,20,750,15,785
18:35:30,2,0,140,0,0,2,144
18:35:31,2,4,70,20,750,2,848
18:35:32,0,0,140,20,750,0,910
18:35:33,0,4,0,0,0,15,19
18:35:34,2,0,70,20,750,2,844
18:35:35,0,4,70,0,0,2,76
18:35:36,0,4,70,20,750,0,844
18:35:37,2,0,70,20,750,0,842
18:35:38,2,0,70,0,750,2,824
18:35:39,0,0,140,20,0,0,160
18:35:40,2,4,70,20,0,15,111
18:35:41,0,4,70,20,0,17,111
18:35:42,0,0,0,0,750,17,767
18:35:43,0,0,70,0,750,15,835
18:35:44,2,4,140,0,0,2,148
18:35:45,0,0,70,0,0,0,70
18:35:46,2,4,0,20,750,17,793
18:35:47,0,0,70,20,750,2,842
18:35:48,2,0,140,0,0,2,144
18:35:49,2,0,140,0,750,2,894
18:35:50,2,4,0,0,0,17,23
18:35:51,2,4,0,20,750,17,793
18:35:52,0,4,0,0,750,0,754
18:35:53,0,4,70,0,0,2,76
18:35:54,2,4,70,20,0,17,113
18:35:55,0,4,70,0,750,0,824
18:35:56,0,4,70,0,0,17,91
18:35:57,0,0,70,20,0,2,92
18:35:58,2,4,70,0,750,2,828
18:35:59,0,4,140,20,0,2,166
18:36:00,0,0,0,0,0,17,17
18:36:01,2,0,70,20,0,2,94
18:36:02,2,0,70,0,0,2,74
18:36:03,0,4,70,20,0,0,94
18:36:04,2,4,70,0,750,15,841
18:36:05,0,4,0,0,0,2,6
18:36:06,2,0,70,20,0,15,107
18:36:07,2,4,0,0,750,0,756
18:36:08,0,4,70,20,750,2,846
18:36:09,0,4,70,20,750,17,861
18:36:10,0,4,70,20,0,2,96
18:36:11,0,4,140,20,750,2,916
18:36:12,0,4,0,20,0,17,41
18:36:13,0,0,0,20,750,0,770
18:36:14,2,4,70,0,0,17,93
18:36:15,0,4,0,20,750,15,789
18:36:16,0,4,0,0,750,15,769
18:36:17,2,0,140,0,750,0,892
18:36:18,0,0,70,0,750,15,835
18:36:19,0,0,0,20,0,15,35
18:36:20,0,0,0,0,750,2,752
18:36:21,2,4,140,20,750,17,933
18:36:22,2,4,70,0,750,0,826
18:36:23,0,4,70,20,750,2,846
18:36:24,0,0,70,20,0,2,92
18:36:25,0,0,70,0,750,0,820
18:36:26,2,4,70,20,0,15,111
18:36:27,0,0,70,20,0,17,107
18:36:28,0,4,0,0,750,2,756
18:36:29,0,4,0,20,0,15,39
18:36:30,2,0,0,0,0,17,19
18:36:31,0,4,70,20,0,15,109
18:36:32,2,0,0,0,750,0,752
18:36:33,0,0,70,0,0,2,72
18:36:34,2,4,140,20,0,0,166
18:36:35,2,0,140,0,750,0,892
18:36:36,2,0,70,20,0,15,107
18:36:37,2,4,140,20,0,17,183
18:36:38,2,4,140,0,0,15,161
18:36:39,2,4,70,20,0,17,113
18:36:40,0,4,140,0,0,15,159
18:36:41,0,4,70,0,0,17,91
18:36:42,0,0,70,0,0,15,85
18:36:43,0,4,70,20,0,17,111
18:36:44,2,4,0,20,750,2,778
18:36:45,0,4,70,20,0,0,94
18:36:46,0,0,140,0,0,17,157
18:36:47,2,0,140,20,750,17,929
18:36:48,2,4,70,20,750,2,848
18:36:49,2,4,70,0,0,15,91
18:36:50,0,0,0,20,0,2,22
18:36:51,2,4,70,20,0,2,98
18:36:52,0,0,70,20,750,0,840
18:36:53,0,4,140,20,0,0,164
18:36:54,2,4,70,0,750,2,828
18:36:55,0,4,140,0,0,2,146
18:36:56,2,0,70,0,0,0,72
18:36:57,0,0,70,20,0,2,92
18:36:58,0,0,70,20,0,0,90
18:36:59,0,0,0,20,0,2,22
18:37:00,0,0,70,0,0,17,87
18:37:01,2,0,0,20,750,0,772
18:37:02,0,4,0,0,750,0,754
18:37:03,2,0,140,20,0,0,162
18:37:04,0,4,70,0,750,0,824
18:37:05,2,4,140,0,0,0,146
18:37:06,0,0,70,0,750,15,835
18:37:07,0,4,0,20,0,17,41
18:37:08,0,4,70,0,750,0,824
18:37:09,0,4,0,20,750,17,791
18:37:10,2,4,140,20,0,2,168
18:37:11,2,4,70,0,0,15,91
18:37:12,0,0,70,20,0,15,105
18:37:13,2,4,140,20,0,0,166
18:37:14,0,0,0,20,0,0,20
18:37:15,2,0,70,20,750,17,859
18:37:16,2,4,70,0,750,0,826
18:37:17,2,4,0,20,750,15,791
18:37:18,2,0,70,0,750,0,822
18:37:19,0,0,0,0,750,2,752
18:37:20,2,4,70,0,750,0,826
18:37:21,0,4,140,20,750,0,914
18:37:22,2,0,70,0,0,0,72
18:37:23,2,4,70,20,0,0,96
18:37:24,0,0,70,0,0,0,70
18:37:25,0,4,0,0,750,17,771
18:37:26,2,0,0,20,750,15,787
18:37:27,0,0,70,0,0,17,87
18:37:28,0,4,140,20,750,2,916
18:37:29,0,0,0,0,0,0,0
18:37:30,0,0,0,20,750,17,787
18:37:31,0,4,70,0,0,0,74
18:37:32,2,0,70,20,750,17,859
18:37:33,2,4,0,0,750,17,773
18:37:34,2,4,0,20,0,0,26
18:37:35,0,0,0,20,0,17,37
18:37:36,2,4,140,0,750,17,913
18:37:37,0,4,0,20,750,0,774
18:37:38,2,4,70,20,750,2,848
18:37:39,0,4,0,20,750,0,774
18:37:40,2,0,140,20,0,15,177
18:37:41,0,0,140,20,0,2,162
18:37:42,0,0,140,20,0,17,177
18:37:43,2,0,0,0,750,2,754
18:37:44,2,0,140,20,750,15,927
18:37:45,2,4,0,20,0,2,28
18:37:46,2,0,70,20,750,2,844
18:37:47,2,0,140,0,750,15,907
18:37:48,0,0,70,0,0,0,70
18:37:49,0,4,70,0,0,0,74
18:37:50,2,0,140,0,750,2,894
18:37:51,0,0,70,20,0,17,107
18:37:52,2,0,70,0,0,2,74
18:37:53,2,0,140,20,750,15,927
18:37:54,0,0,70,20,0,17,107
18:37:55,0,0,140,0,0,2,142
18:37:56,2,0,70,0,0,2,74
18:37:57,0,0,0,20,750,2,772
18:37:58,0,4,70,20,750,15,859
18:37:59,2,0,140,0,0,15,157
18:38:00,2,4,70,20,0,17,113
18:38:01,2,4,70,0,0,0,76
18:38:02,2,4,140,0,0,17,163
18:38:03,0,4,70,0,0,2,76
18:38:04,2,4,0,0,0,17,23
18:38:05,0,0,70,20,750,15,855
18:38:06,0,0,70,20,750,17,857
18:38:07,2,4,70,0,0,0,76
18:38:08,0,4,140,0,750,15,909
18:38:09,2,0,0,20,0,15,37
18:38:10,0,4,70,20,0,0,94
18:38:11,0,4,70,20,750,17,861
18:38:12,2,4,0,0,0,15,21
18:38:13,0,0,70,20,0,2,92
18:38:14,0,4,70,20,750,2,846
18:38:15,2,0,0,20,750,17,789
18:38:16,2,4,70,0,750,15,841
18:38:17,2,0,0,0,750,17,769
18:38:18,0,0,70,20,750,0,840
18:38:19,0,4,70,0,0,15,89
18:38:20,2,4,140,20,750,2,918
18:38:21,0,0,70,20,0,2,92
18:38:22,0,4,0,0,750,17,771
18:38:23,0,0,0,20,0,15,35
18:38:24,2,0,140,0,750,17,909
18:38:25,2,4,140,20,750,15,931
18:38:26,0,0,70,0,750,2,822
18:38:27,0,4,140,0,0,17,161
18:38:28,0,0,0,20,0,0,20
18:38:29,2,4,0,20,750,17,793
18:38:30,2,4,70,20,0,15,111
18:38:31,2,0,70,0,750,15,837
18:38:32,0,4,140,20,0,17,181
18:38:33,2,0,70,0,750,0,822
18:38:34,2,0,70,0,0,15,87
18:38:35,0,0,140,0,0,15,155
18:38:36,0,0,0,0,0,15,15
18:38:37,0,0,70,20,0,0,90
18:38:38,0,4,70,0,0,0,74
18:38:39,2,4,140,0,750,17,913
18:38:40,2,0,0,0,0,15,17
18:38:41,2,4,0,20,750,2,778
18:38:42,2,0,70,0,750,2,824
18:38:43,2,0,70,20,0,17,109
18:38:44,2,0,140,0,0,2,144
18:38:45,2,4,70,0,750,15,841
18:38:46,0,4,140,20,750,15,929
18:38:47,0,0,0,20,750,17,787
18:38:48,2,4,70,20,0,15,111
18:38:49,2,0,140,20,750,0,912
18:38:50,2,0,70,20,0,2,94
18:38:51,2,4,70,20,750,2,848
18:38:52,2,4,70,20,750,2,848
18:38:53,2,0,70,0,750,0,822
18:38:54,0,4,140,20,750,2,916
18:38:55,0,0,70,0,0,0,70
18:38:56,0,0,0,0,750,17,767
18:38:57,2,0,140,20,0,15,177
18:38:58,0,4,70,0,0,15,89
18:38:59,0,4,70,20,750,0,844
18:39:00,0,0,0,20,0,0,20
18:39:01,2,4,0,0,750,17,773
18:39:02,2,4,70,0,0,2,78
18:39:03,2,4,140,0,0,0,146
18:39:04,0,0,0,20,0,15,35
18:39:05,2,0,0,0,750,17,769
18:39:06,0,4,70,0,750,17,841
18:39:07,2,4,70,0,0,15,91
18:39:08,0,0,0,0,750,2,752
18:39:09,0,4,70,0,0,15,89
18:39:10,2,4,0,0,750,17,773
18:39:11,0,4,70,0,0,17,91
18:39:12,0,0,70,20,750,17,857
18:39:13,2,0,0,0,750,15,767
18:39:14,0,0,140,0,0,17,157
18:39:15,2,4,0,0,0,2,8
18:39:16,0,4,0,20,750,15,789
18:39:17,2,4,0,20,750,15,791
18:39:18,2,4,70,0,750,0,826
18:39:19,0,0,140,20,0,15,175
18:39:20,2,0,70,20,750,15,857
18:39:21,2,4,140,0,750,0,896
18:39:22,0,4,140,20,750,0,914
18:39:23,0,0,0,20,0,17,37
18:39:24,0,0,140,20,750,0,910
18:39:25,2,4,70,0,750,0,826
18:39:26,0,4,70,20,0,0,94
18:39:27,2,4,140,20,750,15,931
18:39:28,0,4,140,20,750,0,914
18:39:29,2,0,140,0,750,15,907
18:39:30,2,4,0,20,0,0,26
18:39:31,2,4,140,20,750,15,931
18:39:32,0,0,70,20,750,2,842
18:39:33,0,0,0,0,750,2,752
18:39:34,2,0,140,0,750,15,907
18:39:35,0,4,0,20,750,17,791
18:39:36,0,4,0,0,0,17,21
18:39:37,0,4,140,20,0,17,181
18:39:38,0,0,0,20,750,17,787
18:39:39,2,4,140,20,750,2,918
18:39:40,0,4,0,20,750,15,789
18:39:41,2,0,140,0,0,15,157
18:39:42,0,0,0,20,750,17,787
18:39:43,2,4,0,20,0,0,26
18:39:44,0,4,70,20,750,0,844
18:39:45,0,4,140,20,750,2,916
18:39:46,0,4,140,20,0,15,179
18:39:47,2,0,70,0,0,15,87
18:39:48,0,4,140,0,750,2,896
18:39:49,0,0,70,20,750,15,855
18:39:50,0,4,140,20,0,0,164
18:39:51,0,4,70,20,0,15,109
18:39:52,2,0,140,20,750,15,927
18:39:53,2,0,70,0,0,2,74
18:39:54,2,0,140,0,750,2,894
18:39:55,0,4,140,20,0,17,181
18:39:56,2,4,140,0,750,17,913
18:39:57,0,4,70,0,0,17,91
18:39:58,0,4,70,0,0,15,89
18:39:59,2,4,70,0,0,2,78
18:40:00,2,4,0,20,0,17,43
18:40:01,2,4,70,0,0,0,76
18:40:02,0,0,70,20,750,15,855
18:40:03,0,0,140,20,0,17,177
18:40:04,0,0,70,20,750,15,855
18:40:05,0,0,0,20,750,0,770
18:40:06,0,4,70,20,750,2,846
18:40:07,0,0,0,20,0,17,37
18:40:08,0,4,70,20,0,15,109
18:40:09,0,4,0,20,0,2,26
18:40:10,2,0,70,0,750,15,837
18:40:11,2,0,70,0,0,2,74
18:40:12,0,0,0,20,0,15,35
18:40:13,0,4,70,20,750,15,859
18:40:14,2,4,70,0,750,17,843
18:40:15,2,0,70,20,0,2,94
18:40:16,2,4,0,20,0,17,43
18:40:17,2,0,70,0,0,15,87
18:40:18,0,4,70,0,750,2,826
18:40:19,2,4,0,0,0,15,21
18:40:20,0,0,140,0,0,17,157
18:40:21,0,0,0,0,0,2,2
18:40:22,0,0,70,0,750,15,835
18:40:23,2,4,70,0,0,17,93
18:40:24,2,0,70,0,0,15,87
18:40:25,2,0,70,0,750,2,824
18:40:26,2,4,70,0,0,2,78
18:40:27,0,0,70,0,0,0,70
18:40:28,0,4,0,20,750,2,776
18:40:29,0,4,70,0,0,0,74
18:40:30,0,0,70,20,750,15,855
18:40:31,0,0,0,20,0,2,22
18:40:32,2,0,70,20,750,15,857
18:40:33,2,0,0,20,0,0,22
18:40:34,2,4,0,20,0,15,41
18:40:35,0,0,70,0,750,15,835
18:40:36,0,4,140,20,750,2,916
18:40:37,0,0,70,0,750,15,835
18:40:38,0,0,70,0,0,0,70
18:40:39,0,0,70,0,750,0,820
18:40:40,0,0,70,0,750,0,820
18:40:41,2,0,70,0,750,2,824
18:40:42,2,0,70,20,0,2,94
18:40:43,2,4,0,0,750,15,771
18:40:44,2,4,0,20,750,17,793
18:40:45,2,0,140,20,750,0,912
18:40:46,2,0,70,0,750,17,839
18:40:47,0,4,140,0,750,17,911
18:40:48,2,0,70,20,0,0,92
18:40:49,0,4,140,20,750,0,914
18:40:50,0,0,140,20,750,2,912
18:40:51,0,4,140,0,750,0,894
18:40:52,2,0,70,20,0,2,94
18:40:53,2,4,70,20,750,0,846
18:40:54,0,4,0,20,0,2,26
18:40:55,2,4,0,20,0,0,26
18:40:56,0,4,0,0,0,2,6
18:40:57,2,0,140,0,0,15,157
18:40:58,2,0,70,20,0,15,107
18:40:59,2,0,0,20,750,0,772
18:41:00,0,0,70,0,0,2,72
18:41:01,2,0,0,20,750,15,787
18:41:02,0,0,140,20,750,17,927
18:41:03,0,0,70,0,0,2,72
18:41:04,0,0,0,0,750,0,750
18:41:05,0,4,70,20,0,0,94
18:41:06,0,0,0,0,0,2,2
18:41:07,0,4,0,20,750,0,774
18:41:08,2,4,0,20,0,15,41
18:41:09,0,0,0,20,750,2,772
18:41:10,2,0,0,0,750,2,754
18:41:11,2,4,140,20,750,2,918
18:41:12,2,4,0,0,750,17,773
18:41:13,2,4,70,20,0,2,98
18:41:14,2,0,0,0,0,17,19
18:41:15,0,4,0,20,750,0,774
18:41:16,0,0,140,20,750,0,910
18:41:17,0,4,140,0,750,0,894
18:41:18,0,4,70,20,750,0,844
18:41:19,2,0,70,20,750,17,859
18:41:20,2,0,0,20,0,15,37
18:41:21,2,4,70,20,0,2,98
18:41:22,0,0,70,0,0,17,87
18:41:23,0,0,70,0,0,2,72
18:41:24,2,4,70,0,750,15,841
18:41:25,2,0,0,0,750,15,767
18:41:26,0,0,140,0,0,0,140
18:41:27,0,4,140,0,0,0,144
18:41:28,0,4,70,0,0,2,76
18:41:29,0,4,70,20,0,17,111
18:41:30,2,0,140,0,750,0,892
18:41:31,0,4,70,20,750,0,844
18:41:32,2,4,70,20,750,2,848
18:41:33,2,4,0,20,0,17,43
18:41:34,0,0,70,20,750,0,840
18:41:35,0,0,140,20,0,17,177
18:41:36,2,0,70,20,0,17,109
18:41:37,2,0,70,20,0,17,109
18:41:38,2,4,70,0,750,0,826
18:41:39,0,0,0,0,0,17,17
18:41:40,2,0,0,20,0,2,24
18:41:41,0,4,70,0,0,15,89
18:41:42,2,0,70,20,0,17,109
18:41:43,0,0,140,20,0,15,175
18:41:44,2,4,140,20,750,17,933
